TILEID,SURVEY,PROGRAM,FAPRGRM,FAFLAVOR,NEXP,EXPTIME,TILERA,TILEDEC,EFFTIME_ETC,EFFTIME_SPEC,EFFTIME_GFA,GOALTIME,OBSSTATUS,LRG_EFFTIME_DARK,ELG_EFFTIME_DARK,BGS_EFFTIME_BRIGHT,LYA_EFFTIME_DARK,GOALTYPE,MINTFRAC,LASTNIGHT
80615,cmx,other,m33,cmxm33,4,3600.1,24.027,31.39,0.0,3298.4,0.0,1000.0,obsend,3204.8,3298.4,3196.1,3552.9,other,0.9,20201216
80609,sv1,dark,lrgqso,cmxlrgqso,15,13500.7,150.12,2.206,0.0,7779.9,0.0,4000.0,obsend,7670.3,7779.9,7978.7,10690.3,dark,0.9,20201217
80606,sv1,dark,elg,cmxelg,12,10800.7,36.448,-4.501,0.0,6650.8,0.0,4000.0,obsend,6405.5,6650.8,6510.6,7235.5,dark,0.9,20201219
80607,sv1,dark,lrgqso,cmxlrgqso,15,13500.8,106.74,56.1,0.0,9267.0,0.0,4000.0,obsend,8556.3,9267.0,8408.0,8092.5,dark,0.9,20201219
80620,sv1,dark,lrgqso,sv1lrgqso,9,8100.5,144.0,65.0,0.0,7000.7,0.0,4000.0,obsend,6416.3,7000.7,6147.4,5818.1,dark,0.9,20201221
80622,sv1,dark,lrgqso,sv1lrgqso,6,5400.3,155.0,32.325,0.0,4901.1,0.0,4000.0,obsend,4676.9,4901.1,4702.0,6883.0,dark,0.9,20201221
80623,sv1,dark,elg,sv1elg,8,7200.4,155.0,32.425,0.0,4954.6,0.0,4000.0,obsend,4803.1,4954.6,4874.1,7151.4,dark,0.9,20201221
80611,sv1,bright,bgsmws,sv1bgsmws,12,3600.9,35.22,30.3,0.0,654.6,0.0,600.0,obsend,619.1,708.8,654.6,381.2,bright,0.9,20201222
80608,sv1,dark,elg,cmxelg,23,20701.4,106.74,56.2,0.0,14975.2,0.0,4000.0,obsend,13834.0,14975.2,13544.9,13539.6,dark,0.9,20201223
80612,sv1,bright,bgsmws,sv1bgsmws,17,5101.3,66.68,-5.24,0.0,1441.1,0.0,600.0,obsend,1381.5,1520.7,1441.1,772.8,bright,0.9,20201223
