,field,ra,dec
0,HYDRA-0011,150.7708333,-23.90861111
1,HYDRA-0012,152.3083333,-23.90861111
2,HYDRA-0013,153.8458333,-23.90861111
3,HYDRA-0014,155.3833333,-23.90861111
4,HYDRA-0015,156.925,-23.90861111
5,HYDRA-0016,158.4625,-23.90861111
6,HYDRA-0017,160.0,-23.90861111
7,HYDRA-0018,161.5375,-23.90861111
8,HYDRA-0019,163.075,-23.90861111
9,HYDRA-0020,164.6166667,-23.90861111
10,HYDRA-0021,151.1708333,-25.30027778
11,HYDRA-0022,152.7291667,-25.30027778
12,HYDRA-0023,154.2875,-25.30027778
13,HYDRA-0024,155.8458333,-25.30027778
14,HYDRA-0025,157.4041667,-25.30027778
15,HYDRA-0026,158.9625,-25.30027778
16,HYDRA-0027,160.5208333,-25.30027778
17,HYDRA-0028,162.0791667,-25.30027778
18,HYDRA-0029,163.6375,-25.30027778
19,HYDRA-0030,150.0,-26.68972222
20,HYDRA-0031,151.5791667,-26.68972222
21,HYDRA-0032,153.1583333,-26.68972222
22,HYDRA-0033,154.7375,-26.68972222
23,HYDRA-0034,156.3166667,-26.68972222
24,HYDRA-0035,157.8958333,-26.68972222
25,HYDRA-0036,159.475,-26.68972222
26,HYDRA-0037,161.0541667,-26.68972222
27,HYDRA-0038,162.6333333,-26.68972222
28,HYDRA-0039,164.2125,-26.68972222
29,HYDRA-0040,151.3291667,-28.07722222
30,HYDRA-0041,152.9208333,-28.07722222
31,HYDRA-0042,154.5125,-28.07722222
32,HYDRA-0043,156.1041667,-28.07722222
33,HYDRA-0044,157.7,-28.07722222
34,HYDRA-0045,159.2916667,-28.07722222
35,HYDRA-0046,160.8833333,-28.07722222
36,HYDRA-0047,162.4791667,-28.07722222
37,HYDRA-0048,164.0708333,-28.07722222
38,HYDRA-0049,150.1333333,-29.46305556
39,HYDRA-0050,151.75,-29.46305556
40,HYDRA-0051,153.3625,-29.46305556
41,HYDRA-0052,154.9791667,-29.46305556
42,HYDRA-0053,156.5916667,-29.46305556
43,HYDRA-0054,158.2083333,-29.46305556
44,HYDRA-0055,159.8208333,-29.46305556
45,HYDRA-0056,161.4333333,-29.46305556
46,HYDRA-0057,163.05,-29.46305556
47,HYDRA-0058,164.6625,-29.46305556
48,HYDRA-0059,150.5458333,-30.84722222
49,HYDRA-0060,152.1833333,-30.84722222
50,HYDRA-0061,153.8166667,-30.84722222
51,HYDRA-0062,155.4541667,-30.84722222
52,HYDRA-0063,157.0916667,-30.84722222
53,HYDRA-0064,158.7291667,-30.84722222
54,HYDRA-0065,160.3625,-30.84722222
55,HYDRA-0066,162.0,-30.84722222
56,HYDRA-0067,163.6375,-30.84722222
57,HYDRA-0068,150.9666667,-32.22916667
58,HYDRA-0069,152.625,-32.22916667
59,HYDRA-0070,154.2875,-32.22916667
60,HYDRA-0071,155.9458333,-32.22916667
61,HYDRA-0072,157.6041667,-32.22916667
62,HYDRA-0073,159.2625,-32.22916667
63,HYDRA-0074,160.9208333,-32.22916667
64,HYDRA-0075,162.5791667,-32.22916667
65,HYDRA-0076,164.2416667,-32.22916667
66,HYDRA-0077,150.4208333,-33.60916667
67,HYDRA-0078,152.1125,-33.60916667
68,HYDRA-0079,153.8041667,-33.60916667
69,HYDRA-0080,155.4916667,-33.60916667
70,HYDRA-0081,157.1833333,-33.60916667
71,HYDRA-0082,158.875,-33.60916667
72,HYDRA-0083,160.5625,-33.60916667
73,HYDRA-0084,162.2541667,-33.60916667
74,HYDRA-0085,163.9416667,-33.60916667
75,HYDRA-0086,150.8583333,-34.98666667
76,HYDRA-0087,152.5708333,-34.98666667
77,HYDRA-0088,154.2875,-34.98666667
78,HYDRA-0089,156.0,-34.98666667
79,HYDRA-0091,159.4291667,-34.98666667
80,HYDRA-0092,161.1416667,-34.98666667
81,HYDRA-0093,162.8583333,-34.98666667
82,HYDRA-0094,164.5708333,-34.98666667
83,HYDRA-0095,151.3041667,-36.3625
84,HYDRA-0096,153.0416667,-36.3625
85,HYDRA-0097,154.7833333,-36.3625
86,HYDRA-0098,156.5208333,-36.3625
87,HYDRA-0099,158.2625,-36.3625
88,HYDRA-0100,160.0,-36.3625
89,HYDRA-0101,161.7375,-36.3625
90,HYDRA-0102,163.4791667,-36.3625
91,HYDRA-0103,150.7375,-37.73611111
92,HYDRA-0104,152.5125,-37.73611111
93,HYDRA-0105,154.2875,-37.73611111
94,HYDRA-0106,156.0583333,-37.73611111
95,HYDRA-0107,157.8333333,-37.73611111
96,HYDRA-0108,159.6041667,-37.73611111
97,HYDRA-0109,161.3791667,-37.73611111
98,HYDRA-0110,163.1541667,-37.73611111
99,HYDRA-0111,164.925,-37.73611111
100,HYDRA-0112,150.15,-39.10722222
101,HYDRA-0113,151.9583333,-39.10722222
102,HYDRA-0114,153.7708333,-39.10722222
103,HYDRA-0115,155.5791667,-39.10722222
104,HYDRA-0116,157.3875,-39.10722222
105,HYDRA-0117,159.1958333,-39.10722222
106,HYDRA-0118,161.0041667,-39.10722222
107,HYDRA-0119,162.8125,-39.10722222
108,HYDRA-0120,164.625,-39.10722222
109,HYDRA-0121,151.3833333,-40.47611111
110,HYDRA-0122,153.2291667,-40.47611111
111,HYDRA-0123,155.075,-40.47611111
112,HYDRA-0124,156.925,-40.47611111
113,HYDRA-0125,158.7708333,-40.47611111
114,HYDRA-0126,160.6166667,-40.47611111
115,HYDRA-0127,162.4625,-40.47611111
116,HYDRA-0128,164.3083333,-40.47611111
117,HYDRA-0129,150.7833333,-41.84222222
118,HYDRA-0130,152.6708333,-41.84222222
119,HYDRA-0131,154.5541667,-41.84222222
120,HYDRA-0132,156.4416667,-41.84222222
121,HYDRA-0133,158.325,-41.84222222
122,HYDRA-0134,160.2083333,-41.84222222
123,HYDRA-0135,162.0958333,-41.84222222
124,HYDRA-0136,163.9791667,-41.84222222
125,HYDRA-0137,150.1625,-43.20583333
126,HYDRA-0138,152.0875,-43.20583333
127,HYDRA-0139,154.0125,-43.20583333
128,HYDRA-0140,155.9375,-43.20583333
129,HYDRA-0141,157.8625,-43.20583333
130,HYDRA-0142,159.7875,-43.20583333
131,HYDRA-0143,161.7125,-43.20583333
132,HYDRA-0144,163.6375,-43.20583333
133,HYDRA-0145,151.475,-44.56694444
134,HYDRA-0146,153.4416667,-44.56694444
135,HYDRA-0147,155.4083333,-44.56694444
136,HYDRA-0148,157.375,-44.56694444
